Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sig:_O2_in_%	Sample	MeOH Molarity [M]	Current [mA]
1.2990000000000002	1606482812.055	2020/11/27_14:13:32.055	1	3	6.497214598999999e-06	7.205093425e-06	2.5385216150000003e-10	1.800949841e-11	3.610522645e-11	2.8882787269999998e-09	8.171620181000001e-08	6.981389911000001e-10	4.6953860940000005e-11	1.457324539e-11	1.951879192e-08	1.203752764e-09	2.901342222e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.2719546204	76.59592333	0.2548270037	18.29575844	0.7459088645999999	18.29575844	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1.75	1606482812.506	2020/11/27_14:13:32.506	1	3	6.497226877e-06	7.2744560379999995e-06	2.560690548e-10	1.8533816839999998e-11	3.628243539e-11	2.913889352e-09	8.156338537999999e-08	6.937733721e-10	4.6423122289999996e-11	1.4910342060000002e-11	1.946081696e-08	1.199363386e-09	2.85814622e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.268397599	76.59306109	0.2578690724	18.27491018	0.7431634497	18.27491018	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.201	1606482812.957	2020/11/27_14:13:32.957	1	3	6.5097028710000005e-06	7.0954683909999995e-06	2.565185842e-10	1.766102542e-11	3.4753765840000004e-11	2.920943487e-09	8.13887624e-08	6.940739094999999e-10	4.627204869e-11	1.448097458e-11	1.9519404759999998e-08	1.217745682e-09	2.8695054669999996e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.26969653	76.49494679	0.2576934951	18.3457247	0.7421040908	18.3457247	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2.6519999999999997	1606482813.408	2020/11/27_14:13:33.408	1	3	6.505834334999999e-06	7.25774953e-06	2.55034327e-10	1.871597495e-11	3.394431958e-11	2.917011743e-09	8.123604545e-08	6.938611907000001e-10	4.675584225e-11	1.450008776e-11	1.945739925e-08	1.219858881e-09	2.846939628e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.2681294079	76.50942981	0.25782249	18.3252953	0.7431509073	18.3252953	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.103	1606482813.859	2020/11/27_14:13:33.859	1	3	6.5034623729999994e-06	7.147324141e-06	2.544784106e-10	1.8136079440000002e-11	3.3057456079999996e-11	2.9135052149999997e-09	8.1105064e-08	6.985448886e-10	4.6876915539999996e-11	1.4496096160000001e-11	1.938105676e-08	1.214869538e-09	2.814229128e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.26558975739999996	76.54200598	0.257276906	18.29065769	0.7483617111	18.29065769	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3.554	1606482814.31	2020/11/27_14:13:34.310	1	3	6.504288194000001e-06	7.191294571000001e-06	2.540328503e-10	1.8480269399999998e-11	3.3112752120000004e-11	2.9066062890000002e-09	8.121789108e-08	6.919770867e-10	4.6708990840000004e-11	1.516865279e-11	1.938867022e-08	1.2017769e-09	2.814144195e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.2653455207	76.58031038	0.2569524893	18.28156782	0.7420312602	18.28156782	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.005	1606482814.7610002	2020/11/27_14:13:34.761	1	3	6.502335964e-06	7.147324141e-06	2.532302978e-10	1.859858795e-11	3.2689840419999997e-11	2.889623429e-09	8.077766722e-08	6.923770446000001e-10	4.670503567e-11	1.4179960159999999e-11	1.93239007e-08	1.201684419e-09	2.805916055e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.26588485440000004	76.54383762	0.2575814184	18.31106998	0.7447574956999999	18.31106998	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.456	1606482815.2120001	2020/11/27_14:13:35.212	1	3	6.502308224e-06	7.130902304e-06	2.381156661e-10	1.800549293e-11	3.060409218e-11	2.89326052e-09	8.051212319e-08	6.879560255e-10	4.607314877e-11	1.386966236e-11	1.9336754419999997e-08	1.199918609e-09	2.780204955e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.2641406911	76.49266226	0.24333464989999998	18.37139261	0.7396372029	18.37139261	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4.907	1606482815.6629999	2020/11/27_14:13:35.663	1	3	6.5004564929999995e-06	7.224445653e-06	2.534273347e-10	1.790596317e-11	3.177997795e-11	2.881570538e-09	8.076672486e-08	6.930696017000001e-10	4.754566185e-11	1.397022689e-11	1.933728022e-08	1.199557675e-09	2.829657619e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.2681484222	76.53742168	0.2571250855	18.32469464	0.7451878920999999	18.32469464	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5.358	1606482816.1139998	2020/11/27_14:13:36.114	1	3	6.486721759e-06	7.111800187000001e-06	2.5572055580000004e-10	1.822813775e-11	4.354783895e-11	2.902931673e-09	8.091228665e-08	6.966025534e-10	4.4969531569999996e-11	1.471989718e-11	1.933470095e-08	1.193177557e-09	2.866216708e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.2711562548	76.54645426	0.2591670809	18.29144699	0.756682388	18.29144699	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
