Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sig:_O2_in_%	Sample	MeOH Molarity [M]	Current [mA]
5.742000000000001	1606729860.397	2020/11/30_10:51:00.397	1	3	5.088616035e-06	7.24662641e-06	1.125065666e-10	8.403231236e-12	1.9241263100000002e-11	1.365113356e-09	4.194593117e-08	3.4317393369999997e-10	1.79656047e-11	1.492951422e-11	8.617333513e-09	5.743883702000001e-10	6.556096221e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.2214523609999999	78.14857341	0.2252644761	16.05477103	0.7364942526	16.05477103	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6.193	1606729860.8479998	2020/11/30_10:51:00.848	1	3	5.099208011e-06	7.294002444e-06	1.116845297e-10	9.227344583e-12	2.011036997e-11	1.35060696e-09	4.182588853e-08	3.501123003e-10	1.8377001310000003e-11	1.4611409299999998e-11	8.5642613e-09	5.817536453e-10	6.518638407e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.2184713109999998	78.18142695	0.22600985170000001	16.00841471	0.7536867421	16.00841471	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6.644	1606729861.299	2020/11/30_10:51:01.299	1	3	5.103252988e-06	7.185785307e-06	1.112198528e-10	8.144097376000001e-12	1.932831672e-11	1.33564515e-09	4.171675272e-08	3.506092083e-10	1.799884027e-11	1.513055306e-11	8.571340970000001e-09	5.960073546e-10	6.550269771000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.226706508	78.12535032	0.2235397008	16.05204078	0.7548464861	16.05204078	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7.095	1606729861.75	2020/11/30_10:51:01.750	1	3	5.1021525e-06	7.169267518999999e-06	1.16380898e-10	8.425505953e-12	1.985933119e-11	1.348088974e-09	4.178586011e-08	3.5465472230000004e-10	1.8397661869999998e-11	1.5298408369999998e-11	8.551661601000001e-09	5.842085149000001e-10	6.671307395e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.247673757	78.14828187	0.2334140307	15.99339249	0.7634381517000001	15.99339249	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7.546	1606729862.201	2020/11/30_10:51:02.201	1	3	5.0996704890000005e-06	7.18026422e-06	1.141490028e-10	8.354478567e-12	1.933885864e-11	1.350656031e-09	4.171295842e-08	3.516582858e-10	1.8161234669999998e-11	1.459360931e-11	8.543216801e-09	5.746193521e-10	6.495074477999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.217281423	78.1767931	0.2295912272	16.01136236	0.7566961648999999	16.01136236	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7.997000000000001	1606729862.6520002	2020/11/30_10:51:02.652	1	3	5.102327123e-06	7.24662641e-06	1.1388348600000001e-10	8.229755418999999e-12	2.0037419639999998e-11	1.33703304e-09	4.166209067e-08	3.608581767e-10	1.8098607680000002e-11	1.5172519490000002e-11	8.530673945e-09	5.812066384e-10	6.515684102999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.222481119	78.16695592	0.2291104504	16.00536131	0.7770649888	16.00536131	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8.448	1606729863.103	2020/11/30_10:51:03.103	1	3	5.100757335e-06	7.2549696600000005e-06	1.0984999720000001e-10	8.320863962999999e-12	1.941204142e-11	1.3441782130000001e-09	4.166201251e-08	3.563261908e-10	1.8400813860000002e-11	1.458111583e-11	8.519234207e-09	5.934470693e-10	6.524234486000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.224100653	78.16778631	0.2217164766	15.98409772	0.7668556643000001	15.98409772	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8.899	1606729863.554	2020/11/30_10:51:03.554	1	3	5.086545571000001e-06	7.2216780610000014e-06	1.1034407420000001e-10	8.358019137999998e-12	1.971985422e-11	1.35724687e-09	4.1516564410000005e-08	3.352919331e-10	1.845770758e-11	1.524465797e-11	8.541007901000001e-09	5.831742866000001e-10	6.532432372999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.228855889	78.09935374	0.22329778260000002	16.06701342	0.7312340160999999	16.06701342	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9.35	1606729864.005	2020/11/30_10:51:04.005	1	3	5.085827979e-06	7.232747521000001e-06	1.1001754369999999e-10	8.93530562e-12	1.980153541e-11	1.377376657e-09	4.357258376e-08	3.354699851e-10	1.8374229219999998e-11	1.420975403e-11	8.521406691e-09	5.736928155e-10	6.527512418999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.182421413	78.9292348	0.21547625969999998	15.43603917	0.7025779856000001	15.43603917	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9.801	1606729864.456	2020/11/30_10:51:04.456	1	3	5.088758371e-06	7.305182407000001e-06	1.1108964440000002e-10	8.448399966e-12	1.920464482e-11	1.3694912980000001e-09	4.16039363e-08	3.339007126e-10	1.8269262839999998e-11	1.513393404e-11	8.587690559e-09	5.76761694e-10	6.523196427000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1.223950448	78.06166353	0.2242898012	16.11312464	0.7252078386	16.11312464	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
