Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure	1_amu	2_amu_(Hydrogen)	15_amu_(Methanol_/_CH3OH)	18_amu_(Water)	28_amu_(Nitrogen)	29_amu_(Methanol_/_CH3OH)	30_amu_(Methanol_/_CH3OH)	31_amu_(Methanol_/_CH3OH)	32_amu_(Oxygen)	40_amu_(Argon)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_CO2_in_%	Sig:_N2_in_%	Sig:_H2_in_%	Sig:_H2O_in_%	Sig:_MeOH_in_%	Sample	MeOH Molarity [M]	Current [mA]
5.78	1604671990.221	2020/11/06_15:13:10.221	1	3	5.858896657e-06	7.369882042e-06	1.520796544e-10	1.0103493740000001e-10	2.131983652e-11	1.686088491e-09	4.6046015e-08	3.8071659710000006e-10	2.47015533e-11	1.733624529e-11	9.451735394e-09	6.653955165e-10	5.628771892999999e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9522650164	77.89978003	0.4282144942	15.99026774	0.7512764136	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6.231	1604671990.6720002	2020/11/06_15:13:10.672	1	3	5.860958026e-06	7.350132364e-06	1.5522569340000002e-10	1.008986714e-10	2.154105019e-11	1.733112875e-09	4.61696672e-08	3.834126905e-10	2.552728168e-11	1.693205992e-11	9.524438127e-09	6.617462134e-10	5.713144957000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9623951605	77.77408872	0.4314486172	16.04418097	0.7536797829	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6.682	1604671991.123	2020/11/06_15:13:11.123	1	3	5.856505595e-06	7.350132364e-06	1.5883026840000002e-10	1.050563456e-10	2.109868183e-11	1.742856859e-09	4.6095095739999995e-08	3.797014647e-10	2.534803444e-11	1.730762755e-11	9.490423557999999e-09	6.607879244e-10	5.680681481000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9585290225	77.77849754	0.44526872170000004	16.01365337	0.7482645595999999	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7.132999999999999	1604671991.574	2020/11/06_15:13:11.574	1	3	5.857490123e-06	7.316396022000001e-06	1.57934138e-10	9.571599068999999e-11	2.1015916440000002e-11	1.725593557e-09	4.60786822e-08	3.8316333439999996e-10	2.564839313e-11	1.761176795e-11	9.42152667e-09	6.605755942000001e-10	5.720312002000001e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9669304374	77.88889893	0.4287563857	15.9256364	0.7563272529999999	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7.584	1604671992.025	2020/11/06_15:13:12.025	1	3	5.859569683e-06	7.299602202999999e-06	1.548145501e-10	9.51558693e-11	2.0978914790000002e-11	1.7242977050000001e-09	4.615867155e-08	3.8330169589999997e-10	2.520146244e-11	1.669910564e-11	9.505199294e-09	6.594932378e-10	5.710201756e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9626937164	77.81977758	0.4214298589	16.02499531	0.7522252901	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8.035	1604671992.476	2020/11/06_15:13:12.476	1	3	5.859016255e-06	7.469414413e-06	9.808423517999999e-11	9.388563538e-11	2.16024594e-11	1.6787145010000002e-09	4.608601856e-08	3.8425587710000003e-10	2.543048064e-11	1.722007953e-11	9.409522939e-09	6.539394026e-10	5.783508117e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9794749387	78.04968764	0.3251135356	15.93564272	0.7595791606	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8.486	1604671992.927	2020/11/06_15:13:12.927	1	3	5.860903912e-06	7.367050785e-06	1.300445862e-10	9.025007131e-11	2.061510337e-11	1.632327717e-09	4.59331595e-08	3.807971161e-10	2.532379861e-11	1.733600589e-11	9.489424357e-09	6.582726031e-10	5.794057456e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9827606087	77.90965162	0.37365337390000003	16.09551256	0.7532139539	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8.937000000000001	1604671993.3779998	2020/11/06_15:13:13.378	1	3	5.862113538999999e-06	7.364220437000001e-06	1.398775956e-10	8.96911434e-11	2.16524125e-11	1.363218427e-09	4.5980478089999996e-08	3.819997374e-10	2.511953492e-11	1.8070312609999998e-11	9.476137208e-09	6.599715218999999e-10	5.829856597e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9924984396	78.27903139	0.3908271352	16.13256044	0.7607219453	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9.388	1604671993.829	2020/11/06_15:13:13.829	1	3	5.855673407e-06	7.367050785e-06	1.441839148e-10	8.960362313e-11	2.082765904e-11	1.53323465e-09	4.5725737860000003e-08	3.8188793789999996e-10	2.495234228e-11	1.732913812e-11	9.480467078e-09	6.516348572e-10	5.849089546e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9972061511	77.95740979	0.3985823247	16.16316524	0.7586716176999999	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9.839	1604671994.28	2020/11/06_15:13:14.280	1	3	5.855577001e-06	7.449405985000001e-06	1.4612334950000002e-10	8.806810142e-11	2.183392703e-11	1.547755257e-09	4.5811301419999996e-08	3.813630522e-10	2.5236392840000002e-11	1.800244329e-11	9.485083829e-09	6.582340784e-10	5.839740913e-10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.9937113181999999	77.95415824	0.3985085964	16.1401598	0.7596712409	xxxx	0	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
