,Time Relative (sec),Time Absolute (UTC),Time Absolute (Date_Time),Step,Ionizer_State,Pressure_(mBar),External_Pressure_(mBar),1_amu,2_amu_(Hydrogen),15_amu_(Methanol_/_CH3OH),18_amu_(Water),28_amu_(Nitrogen),29_amu_(Methanol_/_CH3OH),30_amu_(Methanol_/_CH3OH),31_amu_(Methanol_/_CH3OH),32_amu_(Oxygen),40_amu_(Argon),44_amu_(CO2),Periph:_Digital_In_0,Periph:_Digital_In_1,Periph:_Digital_In_13,Periph:_Digital_In_14,Periph:_Digital_In_15,Periph:_Digital_In_16,Periph:_Digital_In_17,Periph:_Digital_Out_2,Periph:_Digital_Out_3,Periph:_Digital_Out_4,Periph:_Digital_Out_5,Periph:_Digital_Out_6,Periph:_Digital_Out_7,Periph:_Digital_Out_8,Periph:_Digital_Out_9,Periph:_Digital_Out_10,Periph:_Digital_Out_11,Sig:_CO2_in_%,Sig:_N2_in_%,Sig:_H2_in_%,Sig:_H2O_in_%,Sig:_MeOH_in_%
11,6.185,1604671252.539,2020/11/06_15:00:52.539,1,3,5.750981017999999e-06,7.369882042e-06,1.463945493e-10,1.769413609e-11,2.444506403e-11,1.683198136e-09,5.043332862e-08,4.238845108e-10,2.925788084e-11,1.786813579e-11,1.1088404859999999e-08,7.103365672999999e-10,4.769009493e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07379796981,78.0429829,0.2539188036,17.15873639,0.7666920528
12,6.636,1604671252.99,2020/11/06_15:00:52.990,1,3,5.770077222999999e-06,7.466544503e-06,1.454929233e-10,1.765344641e-11,2.328256685e-11,1.669060112e-09,5.013678717e-08,4.1810177539999997e-10,2.9235232290000005e-11,1.712333227e-11,1.101925129e-08,7.300918758e-10,4.794294128e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07461469227999999,78.02902463,0.2539084137,17.14951194,0.7590854029
13,7.087000000000001,1604671253.441,2020/11/06_15:00:53.441,1,3,5.760737622e-06,7.218903193e-06,1.4589346399999998e-10,1.72288607e-11,2.41952413e-11,1.6556837009999999e-09,5.010956627e-08,4.154455668e-10,2.8182227389999997e-11,1.812078786e-11,1.1052493140000001e-08,7.172666349999999e-10,4.762598649e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07414716579,78.01376081,0.25395921309999997,17.2072245,0.7565482606
14,7.537999999999999,1604671253.8920002,2020/11/06_15:00:53.892,1,3,5.746308034e-06,7.449405985000001e-06,1.4361953290000002e-10,1.781408181e-11,2.4300898100000004e-11,1.668739369e-09,5.008043757e-08,4.133451081e-10,2.8693998570000002e-11,1.69110264e-11,1.100682123e-08,7.270348767000001e-10,4.8357352840000004e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07535106004,78.03599322,0.2515479711,17.15097289,0.7530080809999999
15,7.989,1604671254.343,2020/11/06_15:00:54.343,1,3,5.755015536e-06,7.361406915e-06,1.443748732e-10,1.7547810430000002e-11,2.36721389e-11,1.6841907870000001e-09,4.994955205e-08,4.1660666580000003e-10,2.9192238899999995e-11,1.764503474e-11,1.100571456e-08,7.290769655e-10,4.744133211e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07405185578,77.96697226,0.2527474394,17.17897772,0.7603464738
16,8.44,1604671254.794,2020/11/06_15:00:54.794,1,3,5.759970009e-06,7.333244412e-06,1.450064929e-10,1.824406598e-11,2.351577613e-11,1.683498452e-09,4.997864878e-08,4.179408486e-10,2.9543454489999997e-11,1.7396363860000002e-11,1.116063242e-08,7.676952407000001e-10,4.844953605e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07536025109,77.73869118,0.2539261283,17.35967214,0.7596704031
17,8.891,1604671255.245,2020/11/06_15:00:55.245,1,3,5.760126442000001e-06,7.429443031e-06,1.4655515690000001e-10,1.71449209e-11,2.3596589960000002e-11,1.694013041e-09,4.9953165160000004e-08,4.179321333e-10,2.8750918310000004e-11,1.727826562e-11,1.103209968e-08,7.365982824e-10,4.779585755e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07454715702999999,77.91190781,0.2553228675,17.20675618,0.7604436395999999
18,9.342,1604671255.696,2020/11/06_15:00:55.696,1,3,5.749881439e-06,7.3107917159999995e-06,1.4757750580000002e-10,1.7890444330000003e-11,2.394604827e-11,1.6890383539999999e-09,4.9603961830000004e-08,4.176949897e-10,2.98042771e-11,1.7357320439999998e-11,1.0910811809999999e-08,7.311557471e-10,4.8797483419999996e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07667974474,77.94703466,0.2600142321,17.14511089,0.768098244
19,9.793,1604671256.147,2020/11/06_15:00:56.147,1,3,5.748218882e-06,7.307990472e-06,1.479859291e-10,1.654168122e-11,2.304252449e-11,1.6811568800000002e-09,4.9813102980000004e-08,4.1598646749999996e-10,2.8522958299999997e-11,1.685368164e-11,1.096004354e-08,7.161100046e-10,4.795075795e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0750787334,77.99469369,0.2576085367,17.16065026,0.7584564427
20,10.244000000000002,1604671256.5979998,2020/11/06_15:00:56.598,1,3,5.748646344999999e-06,7.378351256e-06,1.4728276930000003e-10,1.757411057e-11,2.37189348e-11,1.686212836e-09,4.989491842e-08,4.167245715e-10,2.9025741879999997e-11,1.788758724e-11,1.098444979e-08,7.356202869e-10,4.681142973e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07314260012,77.96053415,0.2575879633,17.16314207,0.7614923606
