index	number	frequency [Hz]	impedance Re [Ohm]	impedance Im [Ohm]	significance	time [s]	Re [Ohm*cm²]	-Im [Ohm*cm²]
0,	2	1378.7	0.040323000000000005	-0.014494	0.998	2.1	1.008075	0.36235
1,	3	1834.4	0.037372	-0.015283000000000001	0.996	2.6	0.9343	0.38207500000000005
2,	4	2440.8	0.034053	-0.015881	0.998	3.3	0.851325	0.39702499999999996
3,	5	3247.7	0.03042	-0.016173	0.996	3.8	0.7605	0.404325
4,	6	4321.3	0.02653	-0.015916999999999997	0.9940000000000001	4.4	0.66325	0.3979249999999999
5,	7	5749.7	0.022586000000000002	-0.014902	0.993	5.0	0.5646500000000001	0.37255
6,	8	7650.3	0.019121	-0.012808000000000002	0.993	5.6	0.478025	0.32020000000000004
7,	9	10179.0	0.017172999999999997	-0.010309	0.9940000000000001	6.1	0.42932499999999996	0.25772500000000004
8,	10	13544.0	0.016068	-0.008826100000000002	0.992	6.6	0.40169999999999995	0.22065250000000003
9,	11	18021.0	0.014584999999999999	-0.0078715	0.992	7.1	0.364625	0.1967875
10,	12	23979.0	0.012922999999999999	-0.006603100000000001	0.9940000000000001	7.7	0.32307499999999995	0.16507750000000002
11,	13	31905.0	0.011462	-0.0050318	0.996	8.2	0.28654999999999997	0.12579500000000002
12,	14	42452.0	0.010311	-0.003203	0.998	8.9	0.25777500000000003	0.08007500000000001
13,	15	56484.0	0.009470399999999999	-0.0011417	0.995	9.4	0.23675999999999997	0.028542500000000002
14,	16	75156.0	0.0089491	0.0011424000000000002	0.988	9.9	0.2237275	-0.028560000000000006
15,	17	100000.0	0.008228200000000001	0.0044266	0.982	10.7	0.20570500000000003	-0.110665
16,	18	75156.0	0.0086664	0.001685	0.987	11.4	0.21666	-0.042125
17,	19	56484.0	0.009460799999999998	-0.0011651	0.995	12.2	0.23651999999999995	0.0291275
18,	20	42452.0	0.010303	-0.0032025999999999995	0.9990000000000001	13.0	0.257575	0.08006499999999998
19,	21	31905.0	0.011447	-0.005024	0.996	13.5	0.286175	0.1256
20,	22	23979.0	0.012922999999999999	-0.006626000000000001	0.995	14.0	0.32307499999999995	0.16565000000000002
21,	23	18021.0	0.014588	-0.0078827	0.992	14.6	0.3647	0.19706749999999998
22,	24	13544.0	0.016084	-0.008850499999999999	0.992	15.1	0.4021	0.22126249999999997
23,	25	10179.0	0.017195	-0.01034	0.995	15.6	0.42987499999999995	0.2585
24,	26	7650.3	0.019132	-0.012825999999999999	0.995	16.1	0.4783	0.32065
25,	27	5749.7	0.022609	-0.014931999999999999	0.995	16.7	0.565225	0.37329999999999997
26,	28	4321.3	0.02655	-0.015943000000000002	0.9940000000000001	17.2	0.6637500000000001	0.39857500000000007
27,	29	3247.7	0.030449	-0.016204	0.996	17.7	0.761225	0.4051
28,	30	2440.8	0.034069	-0.015896	0.998	18.3	0.8517250000000001	0.39740000000000003
29,	31	1834.4	0.037376	-0.015295	0.997	18.8	0.9344	0.38237499999999996
30,	32	1378.7	0.040375	-0.014527000000000002	0.9990000000000001	19.3	1.0093750000000001	0.363175
31,	33	1036.2	0.042992	-0.013686000000000002	0.998	19.8	1.0748	0.34215000000000007
32,	34	778.75	0.045383	-0.0129	0.9990000000000001	20.4	1.134575	0.3225
33,	35	585.28	0.047466	-0.012168	1.0	20.9	1.18665	0.3042
34,	36	439.87	0.049434	-0.01155	0.9990000000000001	21.4	1.23585	0.28875
35,	37	330.59	0.051200999999999997	-0.011097	1.0	22.1	1.280025	0.277425
36,	38	248.46	0.052948	-0.01081	0.9990000000000001	22.6	1.3237	0.27025
37,	39	186.73	0.05451	-0.010671	1.0	23.2	1.3627500000000001	0.266775
38,	40	140.34	0.056148	-0.01075	1.0	23.7	1.4037000000000002	0.26875
39,	41	105.48	0.057599000000000004	-0.01102	1.0	24.3	1.439975	0.2755
40,	42	79.271	0.059184	-0.011579	1.0	24.9	1.4796	0.28947500000000004
41,	43	59.52	0.060836	-0.012137	1.0	26.4	1.5209000000000001	0.303425
42,	44	44.261	0.062462000000000004	-0.013375	1.0	28.2	1.56155	0.334375
43,	45	32.576	0.06448999999999999	-0.015124	1.0	29.8	1.6122499999999997	0.3781
44,	46	23.713	0.0667	-0.017478999999999998	1.0	31.9	1.6675	0.43697499999999995
45,	47	17.058	0.069871	-0.020725999999999998	0.9990000000000001	34.2	1.746775	0.51815
46,	48	12.117	0.074274	-0.024805	0.9990000000000001	36.4	1.8568500000000001	0.620125
47,	49	8.4915	0.080397	-0.029641000000000004	0.998	39.1	2.009925	0.7410250000000002
48,	50	5.8653	0.089188	-0.034559	0.998	42.5	2.2297000000000002	0.8639749999999999
49,	51	3.9894	0.10125	-0.038576	0.997	46.8	2.53125	0.9643999999999999
50,	52	2.6693	0.11696	-0.039274	0.996	52.6	2.924	0.9818500000000001
51,	53	1.7553	0.13375	-0.033676	0.9940000000000001	61.8	3.34375	0.8419
52,	54	1.1334	0.14743	-0.019322	0.993	73.5	3.68575	0.48305
53,	55	0.7181	0.15056	-0.0021149999999999997	0.991	90.2	3.764	0.05287499999999999
54,	56	0.44623	0.14473	0.011131	0.992	114.9	3.6182499999999997	-0.278275
55,	57	0.27192	0.13539	0.016491	0.99	149.9	3.3847500000000004	-0.41227499999999995
56,	58	0.16257	0.1293	0.015847999999999998	0.991	203.1	3.2325	-0.39619999999999994
57,	59	0.095466	0.12562	0.014403999999999998	0.992	282.6	3.1405000000000003	-0.3601
